Species_type,Tissus_type,Tissue_type_PO,Cell_type,Cell_type_PO,Cell_marker_name,Gene_symbol,Gene_id,Gene_id_rap,Protein_name,Protein_id,Marker_resource,PMID,Note_gene_type,Description
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,MYB60,AT1G08810,,,,Experimental,16005291,Cell-Marker gene,myb domain protein 60
Arabidopsis_thaliana,leaf,PO0025034,leaf epidermis,PO0006016,,AT1G09310,AT1G09310,,,,Experimental,33955487,Cell-Marker gene,"plant/protein (Protein of unknown function, DUF538)"
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,OZS1,AT1G12480,,,,Experimental,18305484,Cell-Marker gene,C4-dicarboxylate transporter/malic acid transport protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,FLP,AT1G14350,,,,Experimental,24123248,Cell-Marker gene,Duplicated homeodomain-like superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,FLP,AT1G14350,,,,Experimental,16155180,Cell-Marker gene,Duplicated homeodomain-like superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,LHCB6,AT1G15820,,,,Experimental,32592820,Cell-Marker gene,light harvesting complex photosystem II subunit 6
Arabidopsis_thaliana,leaf,PO0025034,rosette leaf,PO0000014,,CYP79F1,AT1G16410,,,,Experimental,11410537,Cell-Marker gene,cytochrome p450 79f1
Arabidopsis_thaliana,leaf,PO0025034,leaf procambium,PO0025259,,MP,AT1G19850,,,,Experimental,33955487,Cell-Marker gene,Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-like protein
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,LEC1,AT1G21970,,,,Experimental,12244233,Cell-Marker gene,Histone superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,SUC2,AT1G22710,,,,Experimental,27027866,Cell-Marker gene,sucrose-proton symporter 2
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,CRF7,AT1G22985,,,,Experimental,17056621,Cell-Marker gene,Integrase-type DNA-binding superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,LEC2,AT1G28300,,,,Experimental,21665323,Cell-Marker gene,AP2/B3-like transcriptional factor family protein
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,LEC2,AT1G28300,,,,Experimental,11573014,Cell-Marker gene,AP2/B3-like transcriptional factor family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CAB3,AT1G29910,,,,Experimental,33955487,Cell-Marker gene,chlorophyll A/B binding protein 3
Arabidopsis_thaliana,leaf,PO0025034,leaf procambium,PO0025259,,WOX4,AT1G46480,,,,Experimental,33955487,Cell-Marker gene,WUSCHEL related homeobox 4
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,C/VIF1,AT1G47960,,,,Experimental,26546341,Cell-Marker gene,cell wall / vacuolar inhibitor of fructosidase 1
Arabidopsis_thaliana,leaf,PO0025034,phloem,PO0005417,,AT1G52190,AT1G52190,,,,Experimental,24006285,Cell-Marker gene,Major facilitator superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,RBCS1A,AT1G67090,,,,Experimental,32592820,Cell-Marker gene,ribulose bisphosphate carboxylase small chain 1A
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,RBCS1A,AT1G67090,,,,Experimental,32592820,Cell-Marker gene,ribulose bisphosphate carboxylase small chain 1A
Arabidopsis_thaliana,leaf,PO0025034,leaf epidermis,PO0006016,,KCS6,AT1G68530,,,,Experimental,33955487,Cell-Marker gene,3-ketoacyl-CoA synthase 6
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,AAP3,AT1G77380,,,,Experimental,15361541,Cell-Marker gene,amino acid permease 3
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AST56,AT1G77990,,,,Experimental,33955487,Cell-Marker gene,STAS domain / Sulfate transporter family
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,GL2,AT1G79840,,,,Experimental,23864836,Cell-Marker gene,HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain-containing protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,MYB88,AT2G02820,,,,Experimental,24123248,Cell-Marker gene,myb domain protein 88
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,MYB88,AT2G02820,,,,Experimental,16155180,Cell-Marker gene,myb domain protein 88
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,LHCB2.1,AT2G05100,,,,Experimental,33955487,Cell-Marker gene,photosystem II light harvesting complex protein 2.1
